Choice.server-scrobbles.name,Server-Scrobbles,
Choice.server.name,SERVER,
Choice.song-duration.name,Song-Duration,
Choice.song-h-index.name,Song-H-Index,
Choice.song-length.name,song-length,
Choice.song-percentage.name,Song-Percentage,
Choice.song-plays.name,Song-Plays,
Choice.song.name,song,
Choice.songs.name,Songs,
Choice.speechiness.name,speechiness,
Choice.spotify-link.name,Spotify-Link,
Choice.strict.name,strict,
Choice.subunit.name,SUBUNIT,
Choice.sum-top.name,Sum-Top,
Choice.sum.name,SUM,
Choice.tag.name,tag,
Choice.tags.name,Tags,
Choice.tempo.name,tempo,
Choice.top.name,Top,
Choice.track-crown.name,Track-Crown,
Choice.track-rank.name,Track-Rank,
Choice.trans.name,TRANS,
Choice.ungrouped.name,UNGROUPED,
Choice.vivi.name,VIVI,
Choice.week.name,Week,
Choice.year.name,Year,
Choice.yeojin.name,YEOJIN,
Choice.yes.name,yes,
Choice.yves.name,YVES,
Choice.yyxy.name,YYXY,
Choice.|.name,|,
Choice.~.name,~,
Command.affinity.desc,Gets your affinity with a user or with the rest of the server,
Command.affinity.name,affinity,
Command.album.desc,How many times you have heard an album!,
Command.album.name,album,
Command.albuminfo.desc,Information about an album,
Command.albuminfo.name,albuminfo,
Command.albumpace.desc,Like pace but for a given album and with more limited time windows,
Command.albumpace.name,albumpace,
Command.albums.desc,Number of albums listened by an user,
Command.albums.name,albums,
Command.aliases.desc,List all the aliases or corrections of one artist,
Command.aliases.name,aliases,
Command.artist.desc,An image returning some information about an artist related to an user,
Command.artist.name,artist,
Command.artistinfo.desc,Brief summary of an artist,
Command.artistinfo.name,artistinfo,
Command.artistpace.desc,Like pace but for a given artists and with more limited time windows,
Command.artistpace.name,artistpace,
Command.artistrank.desc,The rank on your artist in this server or in the bot,
Command.artistrank.name,artistrank,
Command.artists.desc,Number of artists listened by an user,
Command.artists.name,artists,
Command.audio.desc,Gets your audio features using Spotify data,
Command.audio.name,audio,
Command.behind.desc,List of artists that you have less plays than the second user,
Command.behind.name,behind,
Command.chart.album.desc,Chart with albums,
Command.chart.album.name,album,
Command.chart.aotd.desc,Like AOTY but for multiple years at the same time,
Command.chart.aotd.name,aotd,
Command.chart.aoty.desc,Gets your top albums of the year queried,
Command.chart.aoty.name,aoty,
Command.chart.artist.desc,Chart with artists,
Command.chart.artist.name,artist,
Command.chart.desc,Collages about your musical preferences,
Command.chart.name,chart,
Command.chart.recent.desc,Chart with recents,
Command.chart.recent.name,recent,
Command.chart.top.desc,Your all time top artists/albums!,
Command.chart.top.name,top,
Command.clock.desc,Displays your listening habits with a 24 hour format. You can also use the tz command for it to be accurate for yourself.,
Command.clock.name,clock,
Command.colour.color.desc,Your artists/albums which their cover is of a specific colour,
Command.colour.color.name,color,
Command.colour.desc,Charts that use colour of images,
Command.colour.name,colour,
Command.colour.pride.desc,Chart with a LGTBQ pallete,
Command.colour.pride.name,pride,
Command.colour.rainbow.desc,A artist/album chart shown by colors,
Command.colour.rainbow.name,rainbow,
Command.command-status.desc,Disable and re enable all the commands of the bot in a specific channel or in the whole server,
Command.command-status.disable.desc,Disables the command,
Command.command-status.disable.name,disable,
Command.command-status.enable.desc,Enables the command,
Command.command-status.enable.name,enable,
Command.command-status.name,command-status,
Command.command-status.toggle.desc,Toggles the command,
Command.command-status.toggle.name,toggle,
Command.commands.desc,Your most used commands,
Command.commands.name,commands,
Command.comparetracks.desc,Compare yourself with another user on one specific album,
Command.comparetracks.name,comparetracks,
Command.configuration.alias.desc,Let's you alias an artist to another,
Command.configuration.alias.name,alias,
Command.configuration.desc,Personalize your bot usage,
Command.configuration.disabled.desc,A list of all the disabled commands in the server,
Command.configuration.disabled.name,disabled,
Command.configuration.export.desc,Export the list of the current users in a server,
Command.configuration.export.name,export,
Command.configuration.logo.desc,Adds a logo that will be displayed on some bot functionalities,
Command.configuration.logo.name,logo,
Command.configuration.name,configuration,
Command.configuration.prefix.desc,Sets the prefix that the bot will respond to,
Command.configuration.prefix.name,prefix,
Command.configuration.privacy.desc,The privacy affects how you will be shown to other people in other server. By default your name won't be shown.,
Command.configuration.privacy.name,privacy,
Command.configuration.reactions.desc,Sets reactions for your nps,
Command.configuration.reactions.name,reactions,
Command.configuration.refresh.desc,Use it when you change your lastfm profile pic so the bot updates its cached version,
Command.configuration.refresh.name,refresh,
Command.configuration.refreshtracklist.desc,Updates tracklists,
Command.configuration.refreshtracklist.name,refreshtracklist,
Command.configuration.scrobbling.desc,Checks your scrobbling status within the bot,
Command.configuration.scrobbling.name,scrobbling,
Command.configuration.serverblock.desc,Lets server administrators block/unblock one user from this server leaderboard,
Command.configuration.serverblock.name,serverblock,
Command.configuration.serverreactions.desc,Sets reactions for the whole server on your nps,
Command.configuration.serverreactions.name,serverreactions,
Command.configuration.serverset.desc,Manually sets the user that have registered in other servers. This should only be used in case you have been using the bot for a while and there a lot of users which haven't set their accounts,
Command.configuration.serverset.name,serverset,
Command.configuration.timezone.desc,Sets your timezone so some time functionality of the bot can be more accurate,
Command.configuration.timezone.name,timezone,
Command.countries.desc,Map representation of your scrobbled artists,
Command.countries.name,countries,
Command.cover.desc,The image of an album,
Command.cover.name,cover,
Command.crowns.album-leaderboard.desc,List of users ordered by number of album crowns,
Command.crowns.album-leaderboard.name,album-leaderboard,
Command.crowns.albums.desc,Albums you are the top listener within a server,
Command.crowns.albums.name,albums,
Command.crowns.artist-leaderboard.desc,Users of a server ranked by crowns,
Command.crowns.artist-leaderboard.name,artist-leaderboard,
Command.crowns.artists.desc,List of artist you are the top listener within a server,
Command.crowns.artists.name,artists,
Command.crowns.desc,Who has listened the most an artist,
Command.crowns.global-albums.desc,Like your album crowns but considering all bot users instead of only a server,
Command.crowns.global-albums.name,global-albums,
Command.crowns.global-artists.desc,Like your crowns but considering all bot users instead of only a server,
Command.crowns.global-artists.name,global-artists,
Command.crowns.global-track-artist.desc,List of artist you are the top listener within a server,
Command.crowns.global-track-artist.name,global-track-artist,
Command.crowns.global-tracks.desc,Like your track crowns but considering all bot users instead of only a server,
Command.crowns.global-tracks.name,global-tracks,
Command.crowns.name,crowns,
Command.crowns.stolen.desc,List of crowns you would have if the other would concedes their crowns,
Command.crowns.stolen.name,stolen,
Command.crowns.track-artist.desc,List of artist you are the top listener within a server,
Command.crowns.track-artist.name,track-artist,
Command.crowns.track-leaderboard.desc,List of users ordered by number of track crowns,
Command.crowns.track-leaderboard.name,track-leaderboard,
Command.crowns.tracks.desc,List of tracks you are the top listener within a server,
Command.crowns.tracks.name,tracks,
Command.decades.desc,Which decade are your albums from?,
Command.decades.name,decades,
Command.discovery.album-ratio.desc,Returns the ratio of new albums discovered in a timeframe,
Command.discovery.album-ratio.name,album-ratio,
Command.discovery.albumrecommendation.desc,Album Recommendations based on affinity and top listened genres,
Command.discovery.albumrecommendation.name,albumrecommendation,
Command.discovery.albums.desc,Returns a chart with albums discovered,
Command.discovery.albums.name,albums,
Command.discovery.artist-ratio.desc,Returns the ratio of new artist discovered in the provided timeframe,
Command.discovery.artist-ratio.name,artist-ratio,
Command.discovery.artists.desc,Returns a chart with artists discovered,
Command.discovery.artists.name,artists,
Command.discovery.desc,Discover or help others discover new music,
Command.discovery.everynoise.desc,List all of the genres supplied in everynoise.com or find one by name,
Command.discovery.everynoise.name,everynoise,
Command.discovery.globalaffinity.desc,Gets your affinity with the rest of the bot users that have opened up their privacy settings,
Command.discovery.globalaffinity.name,globalaffinity,
Command.discovery.globalmatching.desc,Like Matching but it will only evaluate users that have a opened up their privacy settings. Do the command `privacy` for more info.,
Command.discovery.globalmatching.name,globalmatching,
Command.discovery.globalrecommendation.desc,Gets you a recommendation from bot users that have opened up their privacy settings,
Command.discovery.globalrecommendation.name,globalrecommendation,
Command.discovery.name,discovery,
